Date;Minutes Watched;Hours Watched;Total Watch Count;Series Watch Count;Movie Watch Count
2010-05-12;0;0.0;0;0;0;
2010-05-13;352;5.87;8;8;0;
2010-05-14;264;4.4;6;6;0;
2010-05-15;0;0.0;0;0;0;
2010-05-16;308;5.13;7;7;0;
2010-05-17;616;10.27;14;14;0;
2010-05-18;220;3.67;5;5;0;
2010-05-19;528;8.8;12;12;0;
2010-05-20;362;6.03;7;6;1;
2010-05-21;309;5.15;4;1;3;
2010-05-22;160;2.67;3;1;2;
2010-05-23;0;0.0;0;0;0;
2010-05-24;0;0.0;0;0;0;
2010-05-25;74;1.23;3;3;0;
2010-05-26;210;3.5;7;7;0;
2010-05-27;321;5.35;5;3;2;
2010-05-28;900;15.0;6;1;5;
2010-05-29;391;6.52;11;10;1;
2010-05-30;505;8.42;13;12;1;
2010-05-31;854;14.23;20;20;0;
2010-06-01;688;11.47;16;16;0;
2010-06-02;318;5.3;6;5;1;
2010-06-03;0;0.0;0;0;0;
2010-06-04;0;0.0;0;0;0;
2010-06-05;0;0.0;0;0;0;
2010-06-06;0;0.0;0;0;0;
2010-06-07;0;0.0;0;0;0;
2010-06-08;0;0.0;0;0;0;
2010-06-09;0;0.0;0;0;0;
2010-06-10;0;0.0;0;0;0;
2010-06-11;0;0.0;0;0;0;
2010-06-12;90;1.5;1;1;0;
2010-06-13;0;0.0;0;0;0;
2010-06-14;0;0.0;0;0;0;
2010-06-15;0;0.0;0;0;0;
2010-06-16;496;8.27;9;5;4;
2010-06-17;0;0.0;0;0;0;
2010-06-18;97;1.62;1;0;1;
2010-06-19;0;0.0;0;0;0;
2010-06-20;0;0.0;0;0;0;
2010-06-21;115;1.92;1;0;1;
2010-06-22;0;0.0;0;0;0;
2010-06-23;0;0.0;0;0;0;
2010-06-24;0;0.0;0;0;0;
2010-06-25;0;0.0;0;0;0;
2010-06-26;0;0.0;0;0;0;
2010-06-27;0;0.0;0;0;0;
2010-06-28;0;0.0;0;0;0;
2010-06-29;0;0.0;0;0;0;
2010-06-30;0;0.0;0;0;0;
2010-07-01;0;0.0;0;0;0;
2010-07-02;0;0.0;0;0;0;
2010-07-03;0;0.0;0;0;0;
2010-07-04;0;0.0;0;0;0;
2010-07-05;0;0.0;0;0;0;
2010-07-06;0;0.0;0;0;0;
2010-07-07;88;1.47;1;0;1;
2010-07-08;322;5.37;8;7;1;
2010-07-09;0;0.0;0;0;0;
2010-07-10;0;0.0;0;0;0;
2010-07-11;44;0.73;2;2;0;
2010-07-12;184;3.07;9;9;0;
2010-07-13;198;3.3;2;0;2;
2010-07-14;0;0.0;0;0;0;
2010-07-15;0;0.0;0;0;0;
2010-07-16;0;0.0;0;0;0;
2010-07-17;0;0.0;0;0;0;
2010-07-18;0;0.0;0;0;0;
2010-07-19;0;0.0;0;0;0;
2010-07-20;0;0.0;0;0;0;
2010-07-21;0;0.0;0;0;0;
2010-07-22;0;0.0;0;0;0;
2010-07-23;0;0.0;0;0;0;
2010-07-24;0;0.0;0;0;0;
2010-07-25;202;3.37;3;2;1;
2010-07-26;44;0.73;2;2;0;
2010-07-27;22;0.37;1;1;0;
2010-07-28;22;0.37;1;1;0;
2010-07-29;0;0.0;0;0;0;
2010-07-30;0;0.0;0;0;0;
2010-07-31;0;0.0;0;0;0;
2010-08-01;0;0.0;0;0;0;
2010-08-02;0;0.0;0;0;0;
2010-08-03;60;1.0;1;0;1;
2010-08-04;154;2.57;7;7;0;
2010-08-05;0;0.0;0;0;0;
2010-08-06;0;0.0;0;0;0;
2010-08-07;0;0.0;0;0;0;
2010-08-08;0;0.0;1;0;0;
2010-08-09;22;0.37;1;1;0;
2010-08-10;198;3.3;9;9;0;
2010-08-11;66;1.1;3;3;0;
2010-08-12;119;1.98;1;0;1;
2010-08-13;0;0.0;0;0;0;
2010-08-14;0;0.0;0;0;0;
2010-08-15;0;0.0;0;0;0;
2010-08-16;0;0.0;0;0;0;
2010-08-17;0;0.0;0;0;0;
2010-08-18;0;0.0;0;0;0;
2010-08-19;0;0.0;0;0;0;
2010-08-20;0;0.0;0;0;0;
2010-08-21;60;1.0;2;2;0;
2010-08-22;0;0.0;0;0;0;
2010-08-23;0;0.0;0;0;0;
2010-08-24;0;0.0;0;0;0;
2010-08-25;0;0.0;0;0;0;
2010-08-26;0;0.0;0;0;0;
2010-08-27;240;4.0;6;6;0;
2010-08-28;0;0.0;0;0;0;
2010-08-29;0;0.0;0;0;0;
2010-08-30;22;0.37;2;2;0;
2010-08-31;0;0.0;0;0;0;
2010-09-01;0;0.0;0;0;0;
2010-09-02;0;0.0;0;0;0;
2010-09-03;0;0.0;0;0;0;
2010-09-04;0;0.0;0;0;0;
2010-09-05;126;2.1;1;0;1;
2010-09-06;186;3.1;4;3;1;
2010-09-07;197;3.28;2;1;1;
2010-09-08;0;0.0;0;0;0;
2010-09-09;40;0.67;1;1;0;
2010-09-10;114;1.9;1;0;1;
2010-09-11;135;2.25;3;2;1;
2010-09-12;138;2.3;3;2;1;
2010-09-13;459;7.65;4;1;3;
2010-09-14;0;0.0;0;0;0;
2010-09-15;0;0.0;0;0;0;
2010-09-16;0;0.0;0;0;0;
2010-09-17;0;0.0;0;0;0;
2010-09-18;0;0.0;0;0;0;
2010-09-19;0;0.0;0;0;0;
2010-09-20;0;0.0;0;0;0;
2010-09-21;0;0.0;0;0;0;
2010-09-22;0;0.0;0;0;0;
2010-09-23;132;2.2;3;3;0;
2010-09-24;176;2.93;4;4;0;
2010-09-25;0;0.0;0;0;0;
2010-09-26;0;0.0;0;0;0;
2010-09-27;0;0.0;0;0;0;
2010-09-28;0;0.0;0;0;0;
2010-09-29;0;0.0;0;0;0;
2010-09-30;0;0.0;0;0;0;
2010-10-01;0;0.0;0;0;0;
2010-10-02;0;0.0;0;0;0;
2010-10-03;0;0.0;0;0;0;
2010-10-04;0;0.0;0;0;0;
2010-10-05;22;0.37;1;1;0;
2010-10-06;0;0.0;0;0;0;
2010-10-07;44;0.73;1;1;0;
2010-10-08;0;0.0;0;0;0;
2010-10-09;0;0.0;0;0;0;
2010-10-10;0;0.0;0;0;0;
2010-10-11;195;3.25;2;0;2;
2010-10-12;44;0.73;1;1;0;
2010-10-13;40;0.67;1;1;0;
2010-10-14;0;0.0;0;0;0;
2010-10-15;40;0.67;1;1;0;
2010-10-16;0;0.0;0;0;0;
2010-10-17;0;0.0;0;0;0;
2010-10-18;0;0.0;0;0;0;
2010-10-19;180;3.0;2;0;2;
2010-10-20;0;0.0;0;0;0;
2010-10-21;22;0.37;1;1;0;
2010-10-22;0;0.0;0;0;0;
2010-10-23;0;0.0;0;0;0;
2010-10-24;0;0.0;0;0;0;
2010-10-25;0;0.0;0;0;0;
2010-10-26;0;0.0;0;0;0;
2010-10-27;0;0.0;0;0;0;
2010-10-28;0;0.0;0;0;0;
2010-10-29;0;0.0;0;0;0;
2010-10-30;0;0.0;0;0;0;
2010-10-31;0;0.0;0;0;0;
2010-11-01;30;0.5;1;1;0;
2010-11-02;120;2.0;4;4;0;
2010-11-03;0;0.0;0;0;0;
2010-11-04;30;0.5;1;1;0;
2010-11-05;0;0.0;0;0;0;
2010-11-06;0;0.0;0;0;0;
2010-11-07;0;0.0;0;0;0;
2010-11-08;52;0.87;2;2;0;
2010-11-09;30;0.5;1;1;0;
2010-11-10;0;0.0;0;0;0;
2010-11-11;30;0.5;1;1;0;
2010-11-12;60;1.0;2;2;0;
2010-11-13;384;6.4;4;0;4;
2010-11-14;104;1.73;1;0;1;
2010-11-15;0;0.0;0;0;0;
2010-11-16;0;0.0;0;0;0;
2010-11-17;0;0.0;0;0;0;
2010-11-18;0;0.0;0;0;0;
2010-11-19;0;0.0;0;0;0;
2010-11-20;0;0.0;0;0;0;
2010-11-21;0;0.0;0;0;0;
2010-11-22;0;0.0;0;0;0;
2010-11-23;0;0.0;0;0;0;
2010-11-24;0;0.0;0;0;0;
2010-11-25;0;0.0;0;0;0;
2010-11-26;0;0.0;0;0;0;
2010-11-27;0;0.0;0;0;0;
2010-11-28;0;0.0;0;0;0;
2010-11-29;0;0.0;0;0;0;
2010-11-30;0;0.0;0;0;0;
2010-12-01;60;1.0;2;2;0;
2010-12-02;0;0.0;0;0;0;
2010-12-03;0;0.0;0;0;0;
2010-12-04;0;0.0;0;0;0;
2010-12-05;0;0.0;0;0;0;
2010-12-06;0;0.0;0;0;0;
2010-12-07;0;0.0;0;0;0;
2010-12-08;0;0.0;0;0;0;
2010-12-09;0;0.0;0;0;0;
2010-12-10;0;0.0;0;0;0;
2010-12-11;0;0.0;0;0;0;
2010-12-12;0;0.0;0;0;0;
2010-12-13;0;0.0;0;0;0;
2010-12-14;0;0.0;0;0;0;
2010-12-15;0;0.0;0;0;0;
2010-12-16;0;0.0;0;0;0;
2010-12-17;0;0.0;0;0;0;
2010-12-18;0;0.0;0;0;0;
2010-12-19;0;0.0;0;0;0;
2010-12-20;0;0.0;0;0;0;
2010-12-21;0;0.0;0;0;0;
2010-12-22;0;0.0;0;0;0;
2010-12-23;0;0.0;0;0;0;
2010-12-24;0;0.0;0;0;0;
2010-12-25;0;0.0;0;0;0;
2010-12-26;0;0.0;0;0;0;
2010-12-27;0;0.0;0;0;0;
2010-12-28;0;0.0;0;0;0;
2010-12-29;0;0.0;0;0;0;
2010-12-30;134;2.23;2;1;1;
2010-12-31;0;0.0;0;0;0;
2011-01-01;0;0.0;0;0;0;
2011-01-02;310;5.17;4;1;3;
2011-01-03;60;1.0;2;2;0;
2011-01-04;0;0.0;0;0;0;
2011-01-05;0;0.0;0;0;0;
2011-01-06;0;0.0;0;0;0;
2011-01-07;0;0.0;0;0;0;
2011-01-08;90;1.5;3;3;0;
2011-01-09;125;2.08;2;1;1;
2011-01-10;0;0.0;0;0;0;
2011-01-11;0;0.0;0;0;0;
2011-01-12;0;0.0;0;0;0;
2011-01-13;0;0.0;0;0;0;
2011-01-14;0;0.0;0;0;0;
2011-01-15;0;0.0;0;0;0;
2011-01-16;0;0.0;0;0;0;
2011-01-17;0;0.0;0;0;0;
2011-01-18;0;0.0;0;0;0;
2011-01-19;0;0.0;0;0;0;
2011-01-20;0;0.0;0;0;0;
2011-01-21;0;0.0;0;0;0;
2011-01-22;0;0.0;0;0;0;
2011-01-23;0;0.0;0;0;0;
2011-01-24;0;0.0;0;0;0;
2011-01-25;105;1.75;1;0;1;
2011-01-26;0;0.0;0;0;0;
2011-01-27;0;0.0;0;0;0;
2011-01-28;0;0.0;0;0;0;
2011-01-29;0;0.0;0;0;0;
2011-01-30;0;0.0;0;0;0;
2011-01-31;0;0.0;0;0;0;
2011-02-01;0;0.0;0;0;0;
2011-02-02;744;12.4;3;0;3;
2011-02-03;744;12.4;3;0;3;
2011-02-04;119;1.98;1;0;1;
2011-02-05;0;0.0;0;0;0;
2011-02-06;496;8.27;2;0;2;
2011-02-07;270;4.5;2;1;1;
2011-02-08;176;2.93;8;8;0;
2011-02-09;66;1.1;3;3;0;
2011-02-10;154;2.57;7;7;0;
2011-02-11;132;2.2;6;6;0;
2011-02-12;0;0.0;0;0;0;
2011-02-13;0;0.0;0;0;0;
2011-02-14;0;0.0;0;0;0;
2011-02-15;0;0.0;0;0;0;
2011-02-16;0;0.0;0;0;0;
2011-02-17;248;4.13;1;0;1;
2011-02-18;0;0.0;0;0;0;
2011-02-19;308;5.13;2;1;1;
2011-02-20;0;0.0;0;0;0;
2011-02-21;0;0.0;0;0;0;
2011-02-22;0;0.0;0;0;0;
2011-02-23;0;0.0;0;0;0;
2011-02-24;0;0.0;0;0;0;
2011-02-25;75;1.25;3;3;0;
2011-02-26;0;0.0;0;0;0;
2011-02-27;0;0.0;0;0;0;
2011-02-28;0;0.0;0;0;0;
2011-03-01;0;0.0;0;0;0;
2011-03-02;78;1.3;1;0;1;
2011-03-03;0;0.0;0;0;0;
2011-03-04;0;0.0;0;0;0;
2011-03-05;0;0.0;0;0;0;
2011-03-06;0;0.0;0;0;0;
2011-03-07;0;0.0;0;0;0;
2011-03-08;0;0.0;0;0;0;
2011-03-09;0;0.0;0;0;0;
2011-03-10;0;0.0;0;0;0;
2011-03-11;87;1.45;1;0;1;
2011-03-12;0;0.0;0;0;0;
2011-03-13;0;0.0;0;0;0;
2011-03-14;0;0.0;0;0;0;
2011-03-15;0;0.0;0;0;0;
2011-03-16;0;0.0;0;0;0;
2011-03-17;0;0.0;0;0;0;
2011-03-18;0;0.0;0;0;0;
2011-03-19;0;0.0;0;0;0;
2011-03-20;0;0.0;0;0;0;
2011-03-21;0;0.0;0;0;0;
2011-03-22;0;0.0;0;0;0;
2011-03-23;97;1.62;1;0;1;
2011-03-24;0;0.0;0;0;0;
2011-03-25;0;0.0;0;0;0;
2011-03-26;0;0.0;0;0;0;
2011-03-27;0;0.0;0;0;0;
2011-03-28;0;0.0;0;0;0;
2011-03-29;44;0.73;2;2;0;
2011-03-30;217;3.62;4;2;2;
2011-03-31;165;2.75;2;0;2;
2011-04-01;224;3.73;1;0;1;
2011-04-02;0;0.0;0;0;0;
2011-04-03;0;0.0;0;0;0;
2011-04-04;0;0.0;0;0;0;
2011-04-05;110;1.83;5;5;0;
2011-04-06;0;0.0;0;0;0;
2011-04-07;0;0.0;0;0;0;
2011-04-08;0;0.0;0;0;0;
2011-04-09;0;0.0;0;0;0;
2011-04-10;0;0.0;0;0;0;
2011-04-11;242;4.03;11;11;0;
2011-04-12;0;0.0;0;0;0;
2011-04-13;0;0.0;0;0;0;
2011-04-14;0;0.0;0;0;0;
2011-04-15;0;0.0;0;0;0;
2011-04-16;0;0.0;0;0;0;
2011-04-17;0;0.0;0;0;0;
2011-04-18;0;0.0;0;0;0;
2011-04-19;0;0.0;0;0;0;
2011-04-20;0;0.0;0;0;0;
2011-04-21;0;0.0;0;0;0;
2011-04-22;0;0.0;0;0;0;
2011-04-23;0;0.0;0;0;0;
2011-04-24;0;0.0;0;0;0;
2011-04-25;0;0.0;0;0;0;
2011-04-26;0;0.0;0;0;0;
2011-04-27;100;1.67;1;0;1;
2011-04-28;0;0.0;0;0;0;
2011-04-29;0;0.0;0;0;0;
2011-04-30;0;0.0;0;0;0;
2011-05-01;41;0.68;1;1;0;
2011-05-02;0;0.0;0;0;0;
2011-05-03;0;0.0;0;0;0;
2011-05-04;0;0.0;0;0;0;
2011-05-05;0;0.0;0;0;0;
2011-05-06;0;0.0;0;0;0;
2011-05-07;0;0.0;0;0;0;
2011-05-08;0;0.0;0;0;0;
2011-05-09;0;0.0;0;0;0;
2011-05-10;0;0.0;0;0;0;
2011-05-11;117;1.95;1;0;1;
2011-05-12;0;0.0;0;0;0;
2011-05-13;0;0.0;0;0;0;
2011-05-14;0;0.0;0;0;0;
2011-05-15;107;1.78;1;0;1;
2011-05-16;0;0.0;0;0;0;
2011-05-17;0;0.0;0;0;0;
2011-05-18;0;0.0;0;0;0;
2011-05-19;0;0.0;0;0;0;
2011-05-20;0;0.0;0;0;0;
2011-05-21;0;0.0;0;0;0;
2011-05-22;0;0.0;0;0;0;
2011-05-23;0;0.0;0;0;0;
2011-05-24;0;0.0;0;0;0;
2011-05-25;0;0.0;0;0;0;
2011-05-26;0;0.0;0;0;0;
2011-05-27;0;0.0;0;0;0;
2011-05-28;0;0.0;0;0;0;
2011-05-29;0;0.0;0;0;0;
2011-05-30;193;3.22;3;1;2;
2011-05-31;30;0.5;1;1;0;
2011-06-01;0;0.0;0;0;0;
2011-06-02;0;0.0;0;0;0;
2011-06-03;0;0.0;0;0;0;
2011-06-04;0;0.0;0;0;0;
2011-06-05;25;0.42;1;1;0;
2011-06-06;50;0.83;2;2;0;
2011-06-07;50;0.83;2;2;0;
2011-06-08;0;0.0;0;0;0;
2011-06-09;0;0.0;0;0;0;
2011-06-10;0;0.0;0;0;0;
2011-06-11;0;0.0;0;0;0;
2011-06-12;0;0.0;0;0;0;
2011-06-13;90;1.5;3;3;0;
2011-06-14;0;0.0;0;0;0;
2011-06-15;59;0.98;1;0;1;
2011-06-16;0;0.0;0;0;0;
2011-06-17;0;0.0;0;0;0;
2011-06-18;0;0.0;0;0;0;
2011-06-19;261;4.35;3;1;2;
2011-06-20;0;0.0;0;0;0;
2011-06-21;107;1.78;2;1;1;
2011-06-22;22;0.37;1;1;0;
2011-06-23;0;0.0;0;0;0;
2011-06-24;0;0.0;0;0;0;
2011-06-25;0;0.0;0;0;0;
2011-06-26;0;0.0;0;0;0;
2011-06-27;0;0.0;0;0;0;
2011-06-28;224;3.73;2;0;2;
2011-06-29;66;1.1;3;3;0;
2011-06-30;0;0.0;0;0;0;
2011-07-01;104;1.73;1;0;1;
2011-07-02;100;1.67;1;0;1;
2011-07-03;0;0.0;0;0;0;
2011-07-04;0;0.0;0;0;0;
2011-07-05;258;4.3;3;1;2;
2011-07-06;0;0.0;0;0;0;
2011-07-07;0;0.0;0;0;0;
2011-07-08;0;0.0;0;0;0;
2011-07-09;0;0.0;0;0;0;
2011-07-10;22;0.37;1;1;0;
2011-07-11;87;1.45;1;0;1;
2011-07-12;132;2.2;6;6;0;
2011-07-13;0;0.0;0;0;0;
2011-07-14;0;0.0;0;0;0;
2011-07-15;0;0.0;0;0;0;
2011-07-16;0;0.0;0;0;0;
2011-07-17;0;0.0;0;0;0;
2011-07-18;0;0.0;0;0;0;
2011-07-19;0;0.0;0;0;0;
2011-07-20;22;0.37;1;1;0;
2011-07-21;22;0.37;1;1;0;
2011-07-22;0;0.0;0;0;0;
2011-07-23;0;0.0;0;0;0;
2011-07-24;0;0.0;0;0;0;
2011-07-25;0;0.0;0;0;0;
2011-07-26;0;0.0;0;0;0;
2011-07-27;0;0.0;0;0;0;
2011-07-28;0;0.0;0;0;0;
2011-07-29;0;0.0;0;0;0;
2011-07-30;0;0.0;0;0;0;
